# 1:r 2:z 3:nm 4:na 5:Em 6:Ea
155.87 -98.06 0.00e+00 5.18e+09 0.00e+00 0.00e+00
155.24 -99.59 0.00e+00 2.24e+09 0.00e+00 0.00e+00
154.50 -101.39 0.00e+00 0.00e+00 0.00e+00 0.00e+00
153.78 -103.14 0.00e+00 0.00e+00 0.00e+00 0.00e+00
153.23 -104.49 0.00e+00 0.00e+00 0.00e+00 0.00e+00
152.84 -105.48 0.00e+00 0.00e+00 0.00e+00 0.00e+00

173.03 -57.38 0.00e+00 0.00e+00 0.00e+00 0.00e+00
169.95 -65.58 0.00e+00 0.00e+00 0.00e+00 0.00e+00
166.92 -73.17 0.00e+00 2.19e+07 0.00e+00 0.00e+00
164.04 -80.16 0.00e+00 2.37e+07 0.00e+00 0.00e+00
161.16 -87.06 0.00e+00 1.60e+08 0.00e+00 0.00e+00
159.51 -91.03 0.00e+00 1.90e+10 0.00e+00 0.00e+00
158.74 -92.88 0.00e+00 1.11e+10 0.00e+00 0.00e+00
158.06 -94.53 0.00e+00 0.00e+00 0.00e+00 0.00e+00
157.30 -96.37 0.00e+00 0.00e+00 0.00e+00 0.00e+00
156.65 -97.95 0.00e+00 0.00e+00 0.00e+00 0.00e+00
156.05 -99.43 0.00e+00 7.89e+09 0.00e+00 0.00e+00
155.35 -101.16 0.00e+00 0.00e+00 0.00e+00 0.00e+00
154.68 -102.83 0.00e+00 0.00e+00 0.00e+00 0.00e+00
154.18 -104.08 0.00e+00 0.00e+00 0.00e+00 0.00e+00
153.83 -104.96 0.00e+00 0.00e+00 0.00e+00 0.00e+00

173.46 -57.42 0.00e+00 0.00e+00 0.00e+00 0.00e+00
170.44 -65.62 0.00e+00 0.00e+00 0.00e+00 0.00e+00
167.47 -73.20 0.00e+00 2.19e+07 0.00e+00 0.00e+00
164.64 -80.18 0.00e+00 2.37e+07 0.00e+00 0.00e+00
161.83 -87.05 0.00e+00 1.60e+08 0.00e+00 0.00e+00
160.21 -90.99 0.00e+00 0.00e+00 0.00e+00 0.00e+00
159.47 -92.82 0.00e+00 7.44e+09 0.00e+00 0.00e+00
158.81 -94.44 0.00e+00 1.81e+10 0.00e+00 0.00e+00
158.07 -96.26 0.00e+00 1.76e+10 0.00e+00 0.00e+00
157.45 -97.80 0.00e+00 1.72e+10 0.00e+00 0.00e+00
156.87 -99.24 0.00e+00 1.28e+10 0.00e+00 0.00e+00
156.21 -100.91 0.00e+00 0.00e+00 0.00e+00 0.00e+00
155.58 -102.48 0.00e+00 0.00e+00 0.00e+00 0.00e+00
155.13 -103.64 0.00e+00 0.00e+00 0.00e+00 0.00e+00
154.81 -104.44 0.00e+00 0.00e+00 0.00e+00 0.00e+00

173.89 -57.44 0.00e+00 0.00e+00 0.00e+00 0.00e+00
170.94 -65.64 0.00e+00 0.00e+00 0.00e+00 0.00e+00
168.03 -73.22 0.00e+00 2.19e+07 0.00e+00 0.00e+00
165.26 -80.18 0.00e+00 2.37e+07 0.00e+00 0.00e+00
162.51 -87.02 0.00e+00 1.60e+08 0.00e+00 0.00e+00
160.93 -90.93 0.00e+00 0.00e+00 0.00e+00 0.00e+00
160.21 -92.73 0.00e+00 0.00e+00 0.00e+00 0.00e+00
159.57 -94.33 0.00e+00 0.00e+00 0.00e+00 0.00e+00
158.86 -96.11 0.00e+00 0.00e+00 0.00e+00 0.00e+00
158.26 -97.62 0.00e+00 0.00e+00 0.00e+00 0.00e+00
157.71 -99.02 0.00e+00 3.31e+10 0.00e+00 0.00e+00
157.08 -100.62 0.00e+00 6.21e+09 0.00e+00 0.00e+00
156.50 -102.11 0.00e+00 0.00e+00 0.00e+00 0.00e+00
156.08 -103.19 0.00e+00 0.00e+00 0.00e+00 0.00e+00
155.80 -103.92 0.00e+00 0.00e+00 0.00e+00 0.00e+00

174.33 -57.46 0.00e+00 0.00e+00 0.00e+00 0.00e+00
171.44 -65.66 0.00e+00 0.00e+00 0.00e+00 0.00e+00
168.60 -73.22 0.00e+00 2.19e+07 0.00e+00 0.00e+00
165.89 -80.17 0.00e+00 2.37e+07 0.00e+00 0.00e+00
163.19 -86.97 0.00e+00 1.60e+08 0.00e+00 0.00e+00
161.66 -90.84 0.00e+00 0.00e+00 0.00e+00 0.00e+00
160.96 -92.63 0.00e+00 0.00e+00 0.00e+00 0.00e+00
160.34 -94.20 0.00e+00 0.00e+00 0.00e+00 0.00e+00
159.66 -95.94 0.00e+00 0.00e+00 0.00e+00 0.00e+00
159.09 -97.41 0.00e+00 0.00e+00 0.00e+00 0.00e+00
158.56 -98.76 0.00e+00 2.17e+09 0.00e+00 0.00e+00
157.97 -100.30 0.00e+00 3.65e+10 0.00e+00 0.00e+00
157.43 -101.71 0.00e+00 6.74e+09 0.00e+00 0.00e+00
157.04 -102.72 0.00e+00 0.00e+00 0.00e+00 0.00e+00
156.79 -103.38 0.00e+00 0.00e+00 0.00e+00 0.00e+00

174.77 -57.47 0.00e+00 0.00e+00 0.00e+00 0.00e+00
171.95 -65.67 0.00e+00 0.00e+00 0.00e+00 0.00e+00
169.17 -73.22 0.00e+00 2.19e+07 0.00e+00 0.00e+00
166.52 -80.15 0.00e+00 2.37e+07 0.00e+00 0.00e+00
163.89 -86.91 0.00e+00 1.60e+08 0.00e+00 0.00e+00
162.41 -90.73 0.00e+00 0.00e+00 0.00e+00 0.00e+00
161.73 -92.49 0.00e+00 0.00e+00 0.00e+00 0.00e+00
161.13 -94.04 0.00e+00 0.00e+00 0.00e+00 0.00e+00
160.47 -95.75 0.00e+00 0.00e+00 0.00e+00 0.00e+00
159.93 -97.17 0.00e+00 0.00e+00 0.00e+00 0.00e+00
159.43 -98.48 0.00e+00 0.00e+00 0.00e+00 0.00e+00
158.87 -99.96 0.00e+00 8.26e+09 0.00e+00 0.00e+00
158.36 -101.30 0.00e+00 2.73e+10 0.00e+00 0.00e+00
158.01 -102.23 0.00e+00 2.78e+10 0.00e+00 0.00e+00
157.78 -102.85 0.00e+00 2.78e+10 0.00e+00 0.00e+00

175.22 -57.48 0.00e+00 0.00e+00 0.00e+00 0.00e+00
172.47 -65.67 0.00e+00 0.00e+00 0.00e+00 0.00e+00
169.75 -73.21 0.00e+00 2.19e+07 0.00e+00 0.00e+00
167.16 -80.11 0.00e+00 2.37e+07 0.00e+00 0.00e+00
164.61 -86.82 0.00e+00 1.60e+08 0.00e+00 0.00e+00
163.16 -90.60 0.00e+00 0.00e+00 0.00e+00 0.00e+00
162.50 -92.34 0.00e+00 0.00e+00 0.00e+00 0.00e+00
161.93 -93.85 0.00e+00 0.00e+00 0.00e+00 0.00e+00
161.30 -95.52 0.00e+00 0.00e+00 0.00e+00 0.00e+00
160.77 -96.91 0.00e+00 0.00e+00 0.00e+00 0.00e+00
160.30 -98.18 0.00e+00 0.00e+00 0.00e+00 0.00e+00
159.77 -99.59 0.00e+00 4.26e+09 0.00e+00 0.00e+00
159.30 -100.86 0.00e+00 7.40e+09 0.00e+00 0.00e+00
158.97 -101.74 0.00e+00 6.53e+09 0.00e+00 0.00e+00
158.77 -102.31 0.00e+00 6.53e+09 0.00e+00 0.00e+00

175.67 -57.48 0.00e+00 0.00e+00 0.00e+00 0.00e+00
172.99 -65.66 0.00e+00 0.00e+00 0.00e+00 0.00e+00
170.34 -73.18 0.00e+00 2.19e+07 0.00e+00 0.00e+00
167.81 -80.05 0.00e+00 2.37e+07 0.00e+00 0.00e+00
165.33 -86.72 0.00e+00 1.60e+08 0.00e+00 0.00e+00
163.93 -90.45 0.00e+00 0.00e+00 0.00e+00 0.00e+00
163.29 -92.16 0.00e+00 0.00e+00 0.00e+00 0.00e+00
162.74 -93.65 0.00e+00 0.00e+00 0.00e+00 0.00e+00
162.13 -95.28 0.00e+00 0.00e+00 0.00e+00 0.00e+00
161.63 -96.62 0.00e+00 0.00e+00 0.00e+00 0.00e+00
161.18 -97.85 0.00e+00 0.00e+00 0.00e+00 0.00e+00
160.68 -99.20 0.00e+00 0.00e+00 0.00e+00 0.00e+00
160.24 -100.41 0.00e+00 8.37e+09 0.00e+00 0.00e+00
159.94 -101.23 0.00e+00 3.18e+09 0.00e+00 0.00e+00
159.75 -101.76 0.00e+00 3.18e+09 0.00e+00 0.00e+00

176.14 -57.47 0.00e+00 0.00e+00 0.00e+00 0.00e+00
